************************************************************************************
*    Row   *         i *    runnum *        fi *      fill * R2_vpdrsc * R2_zdcrsc *
*      334 *       335 *  16081017 *        25 *     18797 * 1.0025249 * 1.0015212 *
*      335 *       336 *  16081018 *        25 *     18797 * 1.0023963 * 1.0008337 *
*      336 *       337 *  16081019 *        25 *     18797 * 1.0035265 * 1.0033212 *
*      337 *       338 *  16081020 *        25 *     18797 * 1.0039125 * 1.0025886 *
*      338 *       339 *  16081021 *        25 *     18797 * 1.0039098 * 1.0032850 *
*      339 *       340 *  16081022 *        25 *     18797 * 1.0041552 * 1.0027010 *
*      340 *       341 *  16081023 *        25 *     18797 * 1.0041769 * 1.0031398 *
*      341 *       342 *  16081024 *        25 *     18797 * 1.0044622 * 1.0033080 *
*      342 *       343 *  16081025 *        25 *     18797 * 1.0045111 * 1.0024861 *
*      343 *       344 *  16081027 *        25 *     18797 *         0 * 1.0043017 *
*      344 *       345 *  16081036 *        26 *     18798 * 0.9983066 * 0.9988061 *
*      345 *       346 *  16081037 *        26 *     18798 * 0.9984296 * 0.9973132 *
*      346 *       347 *  16081048 *        27 *     18800 * 0.9663104 * 0.9655790 *
*      347 *       348 *  16081049 *        27 *     18800 * 0.9658511 * 0.9650921 *
*      348 *       349 *  16081050 *        27 *     18800 * 0.9654127 * 0.9646440 *
*      349 *       350 *  16081052 *        27 *     18800 * 0.9650279 * 0.9639430 *
*      350 *       351 *  16081053 *        27 *     18800 * 0.9648823 * 0.9642526 *
*      351 *       352 *  16081054 *        27 *     18800 * 0.9645383 * 0.9638999 *
*      352 *       353 *  16081055 *        27 *     18800 * 0.9643498 * 0.9634249 *
*      353 *       354 *  16081056 *        27 *     18800 * 0.9641965 * 0.9635918 *
*      354 *       355 *  16081057 *        27 *     18800 * 0.9640446 * 0.9629299 *
*      355 *       356 *  16081058 *        27 *     18800 * 0.9639015 * 0.9632991 *
*      356 *       357 *  16081059 *        27 *     18800 * 0.9638409 * 0.9630253 *
*      357 *       358 *  16081060 *        27 *     18800 * 0.9635844 * 0.9627687 *
*      358 *       359 *  16081061 *        27 *     18800 * 0.9634934 * 0.9628264 *
*      359 *       360 *  16082001 *        27 *     18800 * 0.9633350 * 0.9628578 *
*      360 *       361 *  16082002 *        27 *     18800 * 0.9633049 * 0.9624191 *
*      361 *       362 *  16082003 *        27 *     18800 *         0 * 0.9626169 *
*      362 *       363 *  16082011 *        28 *     18801 * 1.0350848 * 1.0342047 *
*      363 *       364 *  16082012 *        28 *     18801 * 1.0353652 * 1.0346150 *
*      364 *       365 *  16082013 *        28 *     18801 * 1.0357079 * 1.0352333 *
*      365 *       366 *  16082017 *        28 *     18801 * 1.0361102 * 1.0358034 *
*      366 *       367 *  16082018 *        28 *     18801 * 1.0361374 * 1.0356158 *
*      367 *       368 *  16082019 *        28 *     18801 * 1.0362423 * 1.0353448 *
*      368 *       369 *  16082022 *        28 *     18801 * 1.0365853 * 1.0356959 *
*      369 *       370 *  16082023 *        28 *     18801 * 1.0368409 * 1.0364158 *
*      370 *       371 *  16082024 *        28 *     18801 * 1.0369629 * 1.0365120 *
*      371 *       372 *  16082025 *        28 *     18801 * 1.0370708 * 1.0369272 *
*      372 *       373 *  16082026 *        28 *     18801 * 1.0374106 * 1.0365622 *
*      373 *       374 *  16082027 *        28 *     18801 * 1.0374870 * 1.0369246 *
*      374 *       375 *  16082028 *        28 *     18801 * 1.0377101 * 1.0372929 *
*      375 *       376 *  16082029 *        28 *     18801 * 1.0377764 * 1.0369486 *
*      376 *       377 *  16082030 *        28 *     18801 *         0 * 1.0377425 *
*      377 *       378 *  16082039 *        29 *     18803 * 0.9780455 * 0.9776675 *
*      378 *       379 *  16082040 *        29 *     18803 * 0.9781771 * 0.9777101 *
*      379 *       380 *  16082041 *        29 *     18803 * 0.9774560 * 0.9766578 *
*      380 *       381 *  16082042 *        29 *     18803 * 0.9770263 * 0.9764260 *
*      381 *       382 *  16082043 *        29 *     18803 * 0.9767870 * 0.9764686 *
*      382 *       383 *  16082044 *        29 *     18803 * 0.9766435 * 0.9765338 *
*      383 *       384 *  16082045 *        29 *     18803 * 0.9765797 * 0.9761043 *
*      384 *       385 *  16082046 *        29 *     18803 * 0.9764102 * 0.9761882 *
*      385 *       386 *  16082047 *        29 *     18803 * 0.9762244 * 0.9754764 *
*      386 *       387 *  16082048 *        29 *     18803 * 0.9760009 * 0.9756768 *
*      387 *       388 *  16082049 *        29 *     18803 * 0.9759560 * 0.9754328 *
*      388 *       389 *  16082050 *        29 *     18803 * 0.9757307 * 0.9752680 *
*      389 *       390 *  16082051 *        29 *     18803 * 0.9755614 * 0.9752040 *
*      390 *       391 *  16082052 *        29 *     18803 * 0.9754953 * 0.9750140 *
*      391 *       392 *  16082053 *        29 *     18803 * 0.9754079 * 0.9746211 *
*      392 *       393 *  16082054 *        29 *     18803 * 0.9752599 * 0.9748885 *
*      393 *       394 *  16082055 *        29 *     18803 * 0.9750369 * 0.9743759 *
*      394 *       395 *  16082056 *        29 *     18803 * 0.9750136 * 0.9743359 *
*      395 *       396 *  16082057 *        29 *     18803 * 0.9749245 * 0.9744057 *
*      396 *       397 *  16082058 *        29 *     18803 *         0 * 0.9742662 *
*      397 *       398 *  16083004 *        30 *     18804 * 1.0373758 * 1.0369675 *
*      398 *       399 *  16083005 *        30 *     18804 * 1.0373679 * 1.0369951 *
*      399 *       400 *  16083006 *        30 *     18804 * 1.0373287 * 1.0364556 *
*      400 *       401 *  16083007 *        30 *     18804 * 1.0371543 * 1.0365034 *
*      401 *       402 *  16083008 *        30 *     18804 * 1.0371102 * 1.0367435 *
*      402 *       403 *  16083009 *        30 *     18804 * 1.0370268 * 1.0369809 *
*      403 *       404 *  16083010 *        30 *     18804 * 1.0370497 * 1.0364220 *
*      404 *       405 *  16083011 *        30 *     18804 * 1.0370096 * 1.0368459 *
*      405 *       406 *  16083012 *        30 *     18804 * 1.0370543 * 1.0365526 *
*      406 *       407 *  16083013 *        30 *     18804 * 1.0370271 * 1.0364563 *
*      407 *       408 *  16083014 *        30 *     18804 * 1.0370826 * 1.0364701 *
*      408 *       409 *  16083015 *        30 *     18804 * 1.0370012 * 1.0364587 *
*      409 *       410 *  16083016 *        30 *     18804 * 1.0369579 * 1.0369397 *
*      410 *       411 *  16083017 *        30 *     18804 * 1.0370681 * 1.0365676 *
*      411 *       412 *  16083018 *        30 *     18804 * 1.0370560 * 1.0362712 *
*      412 *       413 *  16083019 *        30 *     18804 * 1.0370762 * 1.0365545 *
*      413 *       414 *  16083022 *        30 *     18804 * 1.0370404 * 1.0364421 *
*      414 *       415 *  16083041 *        31 *     18805 * 1.0085996 * 1.0081583 *
*      415 *       416 *  16083042 *        31 *     18805 * 1.0084027 * 1.0078040 *
*      416 *       417 *  16083043 *        31 *     18805 * 1.0082881 * 1.0068342 *
*      417 *       418 *  16083044 *        31 *     18805 * 1.0081661 * 1.0096529 *
*      418 *       419 *  16083045 *        31 *     18805 * 1.0082355 * 1.0063123 *
*      419 *       420 *  16083046 *        31 *     18805 * 1.0083055 * 1.0080090 *
*      420 *       421 *  16083048 *        31 *     18805 * 1.0083160 * 1.0078381 *
*      421 *       422 *  16083049 *        31 *     18805 * 1.0082198 * 1.0085618 *
*      422 *       423 *  16083050 *        31 *     18805 * 1.0082511 * 1.0076919 *
*      423 *       424 *  16083052 *        31 *     18805 * 1.0082281 * 1.0078796 *
*      424 *       425 *  16083053 *        31 *     18805 * 1.0083057 * 1.0062891 *
*      425 *       426 *  16083054 *        31 *     18805 * 1.0081753 * 1.0065699 *
*      426 *       427 *  16083055 *        31 *     18805 * 1.0073567 * 1.0059562 *
*      427 *       428 *  16083056 *        31 *     18805 * 1.0073944 *  1.006899 *
*      428 *       429 *  16083057 *        31 *     18805 * 1.0074639 * 1.0061104 *
*      429 *       430 *  16083058 *        31 *     18805 * 1.0073164 * 1.0059671 *
*      430 *       431 *  16083059 *        31 *     18805 * 1.0073911 * 1.0061909 *
*      431 *       432 *  16083060 *        31 *     18805 * 1.0073711 * 1.0064865 *
*      432 *       433 *  16083061 *        31 *     18805 * 1.0071662 * 1.0077021 *
*      433 *       434 *  16083069 *        32 *     18806 * 1.0025007 * 1.0017286 *
*      434 *       435 *  16084004 *        33 *     18807 * 0.9999318 * 0.9985659 *
*      435 *       436 *  16084006 *        33 *     18807 * 0.9997372 * 0.9994224 *
*      436 *       437 *  16084007 *        33 *     18807 * 0.9995502 * 0.9986363 *
*      437 *       438 *  16084008 *        33 *     18807 * 0.9994635 * 0.9992727 *
*      438 *       439 *  16084009 *        33 *     18807 * 0.9993033 * 0.9980468 *
*      439 *       440 *  16084010 *        33 *     18807 * 0.9992532 * 0.9983058 *
*      440 *       441 *  16084011 *        33 *     18807 * 0.9991646 * 0.9997938 *
*      441 *       442 *  16084012 *        33 *     18807 * 0.9989892 * 0.9984201 *
*      442 *       443 *  16084013 *        33 *     18807 * 0.9989040 * 0.9969270 *
*      443 *       444 *  16084014 *        33 *     18807 * 0.9988804 * 0.9986228 *
*      444 *       445 *  16084015 *        33 *     18807 * 0.9988735 * 0.9978650 *
*      445 *       446 *  16085005 *        34 *     18815 * 0.9992038 * 0.9982563 *
*      446 *       447 *  16085006 *        34 *     18815 * 0.9988554 * 0.9994788 *
*      447 *       448 *  16085007 *        34 *     18815 * 0.9990286 * 0.9978168 *
*      448 *       449 *  16085008 *        34 *     18815 * 0.9988519 * 0.9977914 *
*      449 *       450 *  16085009 *        34 *     18815 * 0.9988209 * 0.9972251 *
*      450 *       451 *  16085011 *        34 *     18815 * 0.9988623 * 0.9965606 *
*      451 *       452 *  16085012 *        34 *     18815 * 0.9989463 * 0.9993442 *
*      452 *       453 *  16085013 *        34 *     18815 * 0.9989016 * 1.0000332 *
*      453 *       454 *  16085014 *        34 *     18815 * 0.9989859 * 0.9978178 *
*      454 *       455 *  16085023 *        35 *     18816 * 0.9972702 * 0.9981751 *
*      455 *       456 *  16085024 *        35 *     18816 * 0.9972724 * 0.9963426 *
*      456 *       457 *  16085025 *        35 *     18816 * 0.9973338 * 0.9969385 *
*      457 *       458 *  16085026 *        35 *     18816 * 0.9973125 * 0.9968926 *
*      458 *       459 *  16085027 *        35 *     18816 * 0.9972819 * 0.9947892 *
*      459 *       460 *  16085028 *        35 *     18816 * 0.9974135 * 0.9953700 *
*      460 *       461 *  16085029 *        35 *     18816 * 0.9973837 * 0.9959600 *
*      461 *       462 *  16085030 *        35 *     18816 * 0.9975906 * 0.9974085 *
*      462 *       463 *  16085031 *        35 *     18816 * 0.9974763 * 0.9981659 *
*      463 *       464 *  16085032 *        35 *     18816 * 0.9974534 * 0.9985026 *
*      464 *       465 *  16085033 *        35 *     18816 * 0.9974701 * 0.9953089 *
*      465 *       466 *  16085035 *        35 *     18816 * 0.9974368 * 0.9975917 *
*      466 *       467 *  16085036 *        35 *     18816 * 0.9975219 * 0.9952472 *
*      467 *       468 *  16085037 *        35 *     18816 * 0.9974563 * 0.9983874 *
*      468 *       469 *  16085038 *        35 *     18816 *         0 * 0.9956641 *
*      469 *       470 *  16085051 *        36 *     18818 * 0.9617332 * 0.9606042 *
*      470 *       471 *  16085052 *        36 *     18818 * 0.9628136 * 0.9620497 *
*      471 *       472 *  16085054 *        36 *     18818 * 0.9634877 * 0.9628201 *
*      472 *       473 *  16085055 *        36 *     18818 * 0.9640479 * 0.9636830 *
*      473 *       474 *  16085056 *        36 *     18818 * 0.9645757 * 0.9636927 *
*      474 *       475 *  16085057 *        36 *     18818 * 0.9650426 * 0.9642346 *
*      475 *       476 *  16085058 *        36 *     18818 * 0.9654881 * 0.9642894 *
*      476 *       477 *  16085061 *        37 *     18819 * 1.0492887 * 1.0485304 *
*      477 *       478 *  16085062 *        37 *     18819 * 1.0454273 * 1.0449700 *
*      478 *       479 *  16085063 *        37 *     18819 * 1.0439746 * 1.0441546 *
*      479 *       480 *  16085065 *        37 *     18819 * 1.0433802 * 1.0432899 *
*      480 *       481 *  16085067 *        37 *     18819 * 1.0429729 * 1.0428117 *
*      481 *       482 *  16085069 *        37 *     18819 * 1.0425697 * 1.0419513 *
*      482 *       483 *  16085070 *        37 *     18819 * 1.0423179 * 1.0415728 *
*      483 *       484 *  16085071 *        37 *     18819 * 1.0418323 * 1.0407912 *
*      484 *       485 *  16085072 *        37 *     18819 * 1.0412188 * 1.0401816 *
*      485 *       486 *  16085073 *        37 *     18819 * 1.0407799 * 1.0405701 *
*      486 *       487 *  16085074 *        37 *     18819 * 1.0399704 * 1.0397746 *
*      487 *       488 *  16086001 *        37 *     18819 * 1.0395546 * 1.0390613 *
*      488 *       489 *  16086002 *        37 *     18819 * 1.0391862 * 1.0386441 *
*      489 *       490 *  16086003 *        37 *     18819 * 1.0387858 * 1.0382782 *
*      490 *       491 *  16086004 *        37 *     18819 * 1.0384411 * 1.0380996 *
*      491 *       492 *  16086005 *        37 *     18819 * 1.0383583 * 1.0377312 *
*      492 *       493 *  16086006 *        37 *     18819 * 1.0378654 * 1.0377255 *
*      493 *       494 *  16086007 *        37 *     18819 * 1.0376514 * 1.0368963 *
*      494 *       495 *  16086008 *        37 *     18819 * 1.0374327 * 1.0370302 *
*      495 *       496 *  16086024 *        38 *     18820 * 1.0404797 * 1.0396797 *
*      496 *       497 *  16086025 *        38 *     18820 * 1.0407091 * 1.0401997 *
*      497 *       498 *  16086026 *        38 *     18820 * 1.0411202 * 1.0409773 *
*      498 *       499 *  16086027 *        38 *     18820 * 1.0413522 * 1.0410238 *
*      499 *       500 *  16086028 *        38 *     18820 * 1.0414360 * 1.0408308 *
*      500 *       501 *  16086030 *        38 *     18820 * 1.0416760 * 1.0411862 *
*      501 *       502 *  16086031 *        38 *     18820 * 1.0417513 * 1.0411579 *
*      502 *       503 *  16086032 *        38 *     18820 * 1.0418850 * 1.0415066 *
*      503 *       504 *  16086033 *        38 *     18820 * 1.0420113 * 1.0417183 *
*      504 *       505 *  16086034 *        38 *     18820 * 1.0420846 * 1.0418858 *
*      505 *       506 *  16086035 *        38 *     18820 * 1.0421502 * 1.0414793 *
*      506 *       507 *  16086036 *        38 *     18820 * 1.0422377 * 1.0414149 *
*      507 *       508 *  16086037 *        38 *     18820 * 1.0423824 * 1.0417920 *
*      508 *       509 *  16086038 *        38 *     18820 * 1.0424443 * 1.0420711 *
*      509 *       510 *  16086039 *        38 *     18820 * 1.0424083 * 1.0418841 *
*      510 *       511 *  16086040 *        38 *     18820 * 1.0425617 * 1.0422525 *
*      511 *       512 *  16086041 *        38 *     18820 * 1.0425648 * 1.0422538 *
*      512 *       513 *  16086042 *        38 *     18820 * 1.0426182 * 1.0422582 *
*      513 *       514 *  16086043 *        38 *     18820 *         0 * 1.0425200 *
*      514 *       515 *  16086050 *        39 *     18827 * 0.9818978 * 0.9802033 *
*      515 *       516 *  16086051 *        39 *     18827 * 0.9788386 * 0.9784430 *
*      516 *       517 *  16086052 *        39 *     18827 * 0.9783138 * 0.9777972 *
*      517 *       518 *  16086053 *        39 *     18827 * 0.9776818 * 0.9771013 *
*      518 *       519 *  16086054 *        39 *     18827 * 0.9771114 * 0.9765776 *
*      519 *       520 *  16087001 *        39 *     18827 * 0.9765938 * 0.9763785 *
*      520 *       521 *  16087002 *        39 *     18827 * 0.9757911 * 0.9751274 *
*      521 *       522 *  16087003 *        39 *     18827 * 0.9754267 * 0.9750294 *
*      522 *       523 *  16087004 *        39 *     18827 * 0.9751027 * 0.9747078 *
*      523 *       524 *  16087005 *        39 *     18827 * 0.9747495 * 0.9742434 *
*      524 *       525 *  16087006 *        39 *     18827 * 0.9742975 * 0.9741414 *
*      525 *       526 *  16087007 *        39 *     18827 * 0.9740062 * 0.9736973 *
*      526 *       527 *  16087008 *        39 *     18827 * 0.9734543 * 0.9730978 *
*      527 *       528 *  16087009 *        39 *     18827 * 0.9730482 * 0.9732296 *
*      528 *       529 *  16087010 *        39 *     18827 * 0.9729136 * 0.9723179 *
*      529 *       530 *  16087011 *        39 *     18827 * 0.9727439 * 0.9726764 *
*      530 *       531 *  16087019 *        40 *     18828 * 1.0318540 * 1.0310918 *
*      531 *       532 *  16087020 *        40 *     18828 * 1.0330851 * 1.0323649 *
*      532 *       533 *  16087021 *        40 *     18828 * 1.0335639 * 1.0326247 *
*      533 *       534 *  16087022 *        40 *     18828 * 1.0338250 * 1.0327726 *
*      534 *       535 *  16087023 *        40 *     18828 * 1.0339680 * 1.0332937 *
*      535 *       536 *  16087024 *        40 *     18828 * 1.0341595 * 1.0336008 *
*      536 *       537 *  16087025 *        40 *     18828 * 1.0341836 * 1.0337415 *
*      537 *       538 *  16087026 *        40 *     18828 * 1.0344317 * 1.0337495 *
*      538 *       539 *  16087027 *        40 *     18828 * 1.0345770 * 1.0338075 *
*      539 *       540 *  16087028 *        40 *     18828 * 1.0347092 * 1.0347964 *
*      540 *       541 *  16087029 *        40 *     18828 * 1.0347468 * 1.0341103 *
*      541 *       542 *  16087030 *        40 *     18828 * 1.0349415 * 1.0350155 *
*      542 *       543 *  16087031 *        40 *     18828 * 1.0349395 * 1.0347501 *
*      543 *       544 *  16087032 *        40 *     18828 * 1.0350142 * 1.0345488 *
*      544 *       545 *  16087033 *        40 *     18828 * 1.0351027 * 1.0345158 *
*      545 *       546 *  16087034 *        40 *     18828 *         0 * 1.0347722 *
*      546 *       547 *  16087041 *        41 *     18829 * 1.0056942 * 1.0058517 *
*      547 *       548 *  16087042 *        41 *     18829 * 1.0078285 * 1.0078530 *
*      548 *       549 *  16087043 *        41 *     18829 * 1.0078765 * 1.0078771 *
*      549 *       550 *  16087044 *        41 *     18829 * 1.0078955 * 1.0075250 *
*      550 *       551 *  16087045 *        41 *     18829 * 1.0078805 * 1.0072693 *
*      551 *       552 *  16087046 *        41 *     18829 * 1.0079132 * 1.0079293 *
*      552 *       553 *  16087047 *        41 *     18829 * 1.0078542 * 1.0064879 *
*      553 *       554 *  16087048 *        41 *     18829 * 1.0077960 * 1.0068597 *
*      554 *       555 *  16087049 *        41 *     18829 * 1.0078759 * 1.0076055 *
*      555 *       556 *  16087050 *        41 *     18829 * 1.0077912 * 1.0059042 *
*      556 *       557 *  16087051 *        41 *     18829 * 1.0077817 * 1.0082618 *
*      557 *       558 *  16087052 *        41 *     18829 * 1.0076760 * 1.0063767 *
*      558 *       559 *  16087053 *        41 *     18829 * 1.0076290 * 1.0057883 *
*      559 *       560 *  16087054 *        41 *     18829 * 1.0076689 * 1.0066863 *
*      560 *       561 *  16087055 *        41 *     18829 * 1.0075544 * 1.0066196 *
*      561 *       562 *  16088001 *        41 *     18829 * 1.0075187 * 1.0077540 *
*      562 *       563 *  16088013 *        42 *     18837 * 1.0042309 * 1.0038085 *
*      563 *       564 *  16088016 *        42 *     18837 * 1.0045224 * 1.0049127 *
*      564 *       565 *  16088017 *        42 *     18837 * 1.0046469 * 1.0029209 *
*      565 *       566 *  16088018 *        42 *     18837 * 1.0047254 * 1.0045700 *
*      566 *       567 *  16088019 *        42 *     18837 * 1.0048999 * 1.0045119 *
*      567 *       568 *  16088020 *        42 *     18837 * 1.0049167 * 1.0041301 *
*      568 *       569 *  16088021 *        42 *     18837 * 1.0051157 * 1.0041943 *
*      569 *       570 *  16088022 *        42 *     18837 * 1.0052510 * 1.0051766 *
*      570 *       571 *  16088023 *        42 *     18837 * 1.0052551 * 1.0029994 *
*      571 *       572 *  16088025 *        42 *     18837 * 1.0052896 * 1.0052790 *
*      572 *       573 *  16088026 *        42 *     18837 * 1.0053789 * 1.0046025 *
*      573 *       574 *  16088027 *        42 *     18837 * 1.0054034 * 1.0048551 *
*      574 *       575 *  16088028 *        42 *     18837 * 1.0055123 * 1.0038802 *
*      575 *       576 *  16088029 *        42 *     18837 * 1.0053707 * 1.0049568 *
*      576 *       577 *  16088030 *        42 *     18837 * 1.0055686 * 1.0030942 *
*      577 *       578 *  16088031 *        42 *     18837 * 1.0055073 * 1.0040693 *
*      578 *       579 *  16088032 *        42 *     18837 *         0 * 1.0046027 *
*      579 *       580 *  16088040 *        43 *     18838 * 1.0109221 * 1.0100157 *
*      580 *       581 *  16088041 *        43 *     18838 * 1.0105843 * 1.0104332 *
*      581 *       582 *  16088042 *        43 *     18838 * 1.0105943 * 1.0105066 *
*      582 *       583 *  16088043 *        43 *     18838 * 1.0105050 * 1.0097228 *
*      583 *       584 *  16088044 *        43 *     18838 * 1.0104935 * 1.0114815 *
*      584 *       585 *  16088045 *        43 *     18838 * 1.0104672 * 1.0116016 *
*      585 *       586 *  16088046 *        43 *     18838 * 1.0103929 * 1.0083881 *
*      586 *       587 *  16088047 *        43 *     18838 * 1.0105611 * 1.0119049 *
*      587 *       588 *  16088048 *        43 *     18838 * 1.0104202 * 1.0095000 *
*      588 *       589 *  16088049 *        43 *     18838 * 1.0105164 * 1.0106692 *
*      589 *       590 *  16088050 *        43 *     18838 * 1.0104422 * 1.0108060 *
*      590 *       591 *  16089001 *        43 *     18838 * 1.0104394 * 1.0105267 *
*      591 *       592 *  16089002 *        43 *     18838 * 1.0104260 * 1.0099806 *
*      592 *       593 *  16089003 *        43 *     18838 * 1.0103735 * 1.0102913 *
*      593 *       594 *  16089004 *        43 *     18838 *  1.010288 * 1.0113040 *
*      594 *       595 *  16089005 *        43 *     18838 * 1.0103458 * 1.0097980 *
*      595 *       596 *  16089006 *        43 *     18838 * 1.0093548 * 1.0083396 *
*      596 *       597 *  16089007 *        43 *     18838 *         0 * 1.0100842 *
*      597 *       598 *  16089015 *        44 *     18843 * 0.9898668 * 0.9881103 *
*      598 *       599 *  16089016 *        44 *     18843 * 0.9893835 * 0.9881607 *
*      599 *       600 *  16089017 *        44 *     18843 * 0.9888685 * 0.9866632 *
*      600 *       601 *  16089018 *        44 *     18843 * 0.9889644 * 0.9874019 *
*      601 *       602 *  16089019 *        44 *     18843 * 0.9890211 * 0.9883117 *
*      602 *       603 *  16089020 *        44 *     18843 * 0.9891099 * 0.9886040 *
*      603 *       604 *  16089024 *        44 *     18843 * 0.9893408 * 0.9886257 *
*      604 *       605 *  16089025 *        44 *     18843 * 0.9893170 * 0.9887563 *
*      605 *       606 *  16089026 *        44 *     18843 * 0.9894516 * 0.9894917 *
*      606 *       607 *  16089027 *        44 *     18843 * 0.9895077 * 0.9879478 *
*      607 *       608 *  16089028 *        44 *     18843 * 0.9897212 * 0.9878963 *
*      608 *       609 *  16089029 *        44 *     18843 * 0.9896920 * 0.9883772 *
*      609 *       610 *  16089030 *        44 *     18843 * 0.9898464 * 0.9892815 *
*      610 *       611 *  16089031 *        44 *     18843 * 0.9899911 * 0.9888516 *
*      611 *       612 *  16089032 *        44 *     18843 *         0 * 0.9896057 *
*      612 *       613 *  16089041 *        45 *     18846 * 0.9609484 * 0.9604886 *
*      613 *       614 *  16089042 *        45 *     18846 * 0.9606535 * 0.9600640 *
*      614 *       615 *  16089043 *        45 *     18846 * 0.9604897 * 0.9602364 *
*      615 *       616 *  16089044 *        45 *     18846 * 0.9603875 * 0.9599387 *
*      616 *       617 *  16089045 *        45 *     18846 * 0.9601082 * 0.9590004 *
*      617 *       618 *  16089046 *        45 *     18846 * 0.9599201 * 0.9594759 *
*      618 *       619 *  16089047 *        45 *     18846 * 0.9599232 * 0.9588544 *
*      619 *       620 *  16089048 *        45 *     18846 * 0.9599044 * 0.9585943 *
*      620 *       621 *  16089049 *        45 *     18846 * 0.9598757 * 0.9593561 *
*      621 *       622 *  16089050 *        45 *     18846 * 0.9597576 * 0.9588345 *
*      622 *       623 *  16089051 *        45 *     18846 * 0.9597845 * 0.9590529 *
*      623 *       624 *  16089052 *        45 *     18846 * 0.9596173 * 0.9588707 *
*      624 *       625 *  16089053 *        45 *     18846 * 0.9596199 * 0.9589291 *
*      625 *       626 *  16089054 *        45 *     18846 * 0.9594998 * 0.9594574 *
*      626 *       627 *  16090001 *        45 *     18846 * 0.9595386 * 0.9589787 *
*      627 *       628 *  16090002 *        45 *     18846 * 0.9595679 * 0.9589818 *
*      628 *       629 *  16090003 *        45 *     18846 * 0.9595212 * 0.9587147 *
*      629 *       630 *  16090004 *        45 *     18846 * 0.9595566 * 0.9585013 *
*      630 *       631 *  16090005 *        45 *     18846 * 0.9595193 * 0.9595514 *
*      631 *       632 *  16090006 *        45 *     18846 *         0 * 0.9589521 *
*      632 *       633 *  16090015 *        46 *     18847 * 1.0470727 * 1.0471909 *
*      633 *       634 *  16090016 *        46 *     18847 *  1.047701 * 1.0474678 *
*      634 *       635 *  16090017 *        46 *     18847 * 1.0479081 * 1.0476589 *
*      635 *       636 *  16090018 *        46 *     18847 * 1.0480738 * 1.0479710 *
*      636 *       637 *  16090019 *        46 *     18847 * 1.0481617 * 1.0481317 *
*      637 *       638 *  16090020 *        46 *     18847 * 1.0482502 * 1.0486033 *
*      638 *       639 *  16090021 *        46 *     18847 * 1.0482993 * 1.0483541 *
*      639 *       640 *  16090022 *        46 *     18847 * 1.0483019 * 1.0483750 *
*      640 *       641 *  16090023 *        46 *     18847 * 1.0482940 * 1.0479410 *
*      641 *       642 *  16090024 *        46 *     18847 * 1.0483310 * 1.0481711 *
*      642 *       643 *  16090025 *        46 *     18847 * 1.0483638 * 1.0482090 *
*      643 *       644 *  16090026 *        46 *     18847 * 1.0483845 * 1.0478491 *
*      644 *       645 *  16090027 *        46 *     18847 * 1.0483781 * 1.0478980 *
*      645 *       646 *  16090028 *        46 *     18847 * 1.0484528 * 1.0481425 *
*      646 *       647 *  16090029 *        46 *     18847 * 1.0483750 * 1.0482951 *
*      647 *       648 *  16090030 *        46 *     18847 * 1.0484364 * 1.0482715 *
*      648 *       649 *  16090031 *        46 *     18847 *         0 * 1.0483025 *
*      649 *       650 *  16090038 *        47 *     18848 * 0.9715898 * 0.9710866 *
*      650 *       651 *  16090039 *        47 *     18848 * 0.9704629 * 0.9700488 *
*      651 *       652 *  16090041 *        48 *     18849 * 1.0401845 * 1.0399184 *
*      652 *       653 *  16090042 *        48 *     18849 * 1.0410773 * 1.0404439 *
*      653 *       654 *  16090044 *        48 *     18849 * 1.0413584 * 1.0414832 *
*      654 *       655 *  16090045 *        48 *     18849 * 1.0415604 * 1.0411942 *
*      655 *       656 *  16090046 *        48 *     18849 * 1.0417555 * 1.0415624 *
*      656 *       657 *  16090047 *        48 *     18849 * 1.0419765 * 1.0414643 *
*      657 *       658 *  16090048 *        48 *     18849 * 1.0419737 * 1.0415153 *
*      658 *       659 *  16090049 *        48 *     18849 * 1.0421091 * 1.0419987 *
*      659 *       660 *  16090050 *        48 *     18849 * 1.0422930 * 1.0421669 *
*      660 *       661 *  16090051 *        48 *     18849 * 1.0420931 * 1.0416985 *
*      661 *       662 *  16090052 *        48 *     18849 * 1.0422978 * 1.0422729 *
*      662 *       663 *  16090053 *        48 *     18849 * 1.0423179 * 1.0414221 *
*      663 *       664 *  16090054 *        48 *     18849 *         0 * 1.0416716 *
*      664 *       665 *  16091003 *        49 *     18850 * 1.0001735 * 0.9997391 *
*      665 *       666 *  16091004 *        49 *     18850 * 1.0003534 * 1.0005041 *
*      666 *       667 *  16091005 *        49 *     18850 * 1.0003833 * 1.0004200 *
*      667 *       668 *  16091006 *        49 *     18850 * 1.0004935 * 1.0009847 *
*      668 *       669 *  16091007 *        49 *     18850 * 1.0005083 * 1.0001155 *
*      669 *       670 *  16091008 *        49 *     18850 * 1.0005940 * 0.9984463 *
*      670 *       671 *  16091009 *        49 *     18850 * 1.0005104 * 1.0008655 *
*      671 *       672 *  16091010 *        49 *     18850 * 1.0006215 * 1.0004268 *
*      672 *       673 *  16091011 *        49 *     18850 * 1.0006232 * 1.0001310 *
*      673 *       674 *  16091012 *        49 *     18850 * 1.0005132 * 1.0005669 *
*      674 *       675 *  16091013 *        49 *     18850 * 1.0005166 * 0.9984157 *
